Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDK03,12.6,Regular,74.221.559,Dairy,2.559.356,OUT018,2009,Medium,Tier 3,Supermarket Type2,48.323.764
FDY45,17.5,Low Fat,26.248.606,Snack Foods,2.551.356,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.815.034
NCZ06,19.6,Low Fat,94.545.236,Household,2.547.698,OUT018,2009,Medium,Tier 3,Supermarket Type2,53.270.658
NCQ06,13,LF,41.994.899,Household,2.547.014,OUT018,2009,Medium,Tier 3,Supermarket Type2,5.100.028
FDG26,18.85,Low Fat,4.282.359,Canned,254.433,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.050.664
DRK23,8.395,Low Fat,7.226.985,Hard Drinks,254.104,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.542.056
NCZ18,7.825,Low Fat,186.825.823,Household,2.535.698,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.805.047
FDI46,9.5,Low Fat,74.648.119,Snack Foods,2.533.724,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.550.172
FDD29,12.15,Low Fat,18.485.511,Frozen Foods,2.531.698,OUT018,2009,Medium,Tier 3,Supermarket Type2,15.220.188
FDQ01,19.7,Regular,161.356.273,Canned,2.531.014,OUT018,2009,Medium,Tier 3,Supermarket Type2,28.050.154
NCK30,14.85,Low Fat,61.226.969,Household,2.530.698,OUT018,2009,Medium,Tier 3,Supermarket Type2,22.830.282
FDD11,12.85,LF,0,Starchy Foods,253.004,OUT018,2009,Medium,Tier 3,Supermarket Type2,3795.06
FDO20,12.85,Regular,152.747.503,Fruits and Vegetables,2.520.382,OUT018,2009,Medium,Tier 3,Supermarket Type2,40.374.112
FDN22,18.85,Regular,138.868.769,Snack Foods,2.518.724,OUT018,2009,Medium,Tier 3,Supermarket Type2,32.717.412
FDN38,6.615,Regular,9.234.651,Canned,2.518.408,OUT018,2009,Medium,Tier 3,Supermarket Type2,45.061.344
NCC43,7.39,Low Fat,93.160.853,Household,2.513.066,OUT018,2009,Medium,Tier 3,Supermarket Type2,10.040.264
FDQ24,15.7,Low Fat,73.966.786,Baking Goods,2.505.724,OUT018,2009,Medium,Tier 3,Supermarket Type2,40.267.584
FDI08,18.2,Regular,66.567.121,Fruits and Vegetables,2.502.092,OUT018,2009,Medium,Tier 3,Supermarket Type2,29.881.104
FDA15,9.3,Low Fat,16.087.659,Dairy,2.496.092,OUT018,2009,Medium,Tier 3,Supermarket Type2,59.762.208
FDX13,7.725,Low Fat,47.977.607,Canned,2.495.092,OUT018,2009,Medium,Tier 3,Supermarket Type2,22.410.828
FDK21,7.905,Low Fat,10.053.105,Snack Foods,2.490.408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52
NCX30,16.7,Low Fat,26.729.068,Household,2.484.776,OUT018,2009,Medium,Tier 3,Supermarket Type2,64.396.176
FDT21,7.42,Low Fat,20.474.913,Snack Foods,2.484.092,OUT018,2009,Medium,Tier 3,Supermarket Type2,9.960.368
FDQ52,17,Low Fat,119.871.307,Frozen Foods,2.483.434,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.208.585
NCE18,10,Low Fat,21.512.619,Household,247.775,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.745.125
NCH06,12.3,Low Fat,76.866.235,Household,247.146,OUT018,2009,Medium,Tier 3,Supermarket Type2,492.692
FDM20,10,Low Fat,0,Fruits and Vegetables,2.469.144,OUT018,2009,Medium,Tier 3,Supermarket Type2,31.851.872
DRC27,13.8,Low Fat,58.339.153,Dairy,2.462.802,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.228.401
FDT52,9.695,Regular,47.622.786,Frozen Foods,2.462.144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.675.216
NCH18,9.3,Low Fat,44.843.161,Household,2.461.802,OUT018,2009,Medium,Tier 3,Supermarket Type2,27.024.822
FDF41,12.15,Low Fat,131.714.183,Frozen Foods,245.846,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.434.228
FDN09,14.15,LF,35.016.754,Snack Foods,2.453.828,OUT018,2009,Medium,Tier 3,Supermarket Type2,17.057.796
NCI30,20.25,Low Fat,591.756,Household,245.046,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.680.574
FDG17,6.865,Regular,3.598.621,Frozen Foods,2.441.486,OUT018,2009,Medium,Tier 3,Supermarket Type2,26.878.346
FDP16,18.6,Low Fat,39.454.924,Frozen Foods,2.440.802,OUT018,2009,Medium,Tier 3,Supermarket Type2,31.938.426
FDC04,15.6,Low Fat,45.168.898,Dairy,2.429.854,OUT018,2009,Medium,Tier 3,Supermarket Type2,21.751.686
FDZ43,11,Regular,57.290.978,Fruits and Vegetables,2.427.512,OUT018,2009,Medium,Tier 3,Supermarket Type2,19.388.096
DRG49,7.81,Low Fat,67.730.081,Soft Drinks,2.426.486,OUT018,2009,Medium,Tier 3,Supermarket Type2,21.991.374
FDB21,7.475,Low Fat,149.125.615,Fruits and Vegetables,2.416.854,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.042.135
NCN55,14.6,Low Fat,59.732.844,Others,2.412.538,OUT018,2009,Medium,Tier 3,Supermarket Type2,52.877.836
NCC54,17.75,Low Fat,98.108.957,Health and Hygiene,2.409.196,OUT018,2009,Medium,Tier 3,Supermarket Type2,45.793.724
FDZ26,11.6,Regular,144.604.071,Dairy,2.408.222,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.585.333
FDI09,20.75,Regular,129.864.461,Seafood,240.188,OUT018,2009,Medium,Tier 3,Supermarket Type2,5992.2
FDF11,10.195,reg,17.703.044,Starchy Foods,2.394.538,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.605.307
FDA38,5.44,Low Fat,25.583.714,Dairy,2.391.538,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.807.076
FDB03,17.75,Regular,157.470.693,Dairy,2.391.538,OUT018,2009,Medium,Tier 3,Supermarket Type2,43.263.684
FDS44,12.65,Regular,156.679.617,Fruits and Vegetables,2.388.538,OUT018,2009,Medium,Tier 3,Supermarket Type2,45.667.222
FDK34,13.35,Low Fat,0,Snack Foods,2.387.564,OUT018,2009,Medium,Tier 3,Supermarket Type2,19.068.512
NCV53,8.27,Low Fat,1.889.024,Health and Hygiene,238.188,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.835.008
DRF60,10.8,Low Fat,0,Soft Drinks,2.381.564,OUT018,2009,Medium,Tier 3,Supermarket Type2,52.438.408
NCQ53,17.6,Low Fat,18.982.338,Health and Hygiene,237.059,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.836.308
NCP53,14.75,Low Fat,33.024.328,Health and Hygiene,2.366.906,OUT018,2009,Medium,Tier 3,Supermarket Type2,30.899.778
FDB10,10,Low Fat,674.819,Snack Foods,234.859,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.181.795
FDX31,20.35,Regular,14.885.998,Fruits and Vegetables,2.344.958,OUT018,2009,Medium,Tier 3,Supermarket Type2,32.717.412
FDX19,19.1,Low Fat,97.127.867,Fruits and Vegetables,2.344.958,OUT018,2009,Medium,Tier 3,Supermarket Type2,16.358.706
FDD03,13.3,Low Fat,80.131.363,Dairy,234.03,OUT018,2009,Medium,Tier 3,Supermarket Type2,4194.54
FDD33,12.85,Low Fat,108.633.372,Fruits and Vegetables,2.338.642,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.323.642
DRK59,8.895,Low Fat,75.757.177,Hard Drinks,2.338.616,OUT018,2009,Medium,Tier 3,Supermarket Type2,9.374.464
NCE42,21.1,low fat,0,Household,2.332.958,OUT018,2009,Medium,Tier 3,Supermarket Type2,21.032.622
NCX17,21.25,Low Fat,114.066.204,Health and Hygiene,233.03,OUT018,2009,Medium,Tier 3,Supermarket Type2,5592.72
FDO37,08.06,Low Fat,0,Breakfast,2.327.326,OUT018,2009,Medium,Tier 3,Supermarket Type2,36.965.216
FDL13,13.85,Regular,56.547.986,Breakfast,232.73,OUT018,2009,Medium,Tier 3,Supermarket Type2,6291.81
FDH05,14.35,Regular,91.283.986,Frozen Foods,2.326.984,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.316.984
FDN58,13.8,Regular,57.104.066,Snack Foods,2.326.984,OUT018,2009,Medium,Tier 3,Supermarket Type2,13.901.904
FDI34,10.65,Regular,85.482.761,Snack Foods,2.314.668,OUT018,2009,Medium,Tier 3,Supermarket Type2,32.251.352
NCD18,16,Low Fat,72.965.144,Household,2.313.668,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.607.336
DRK47,7.905,Low Fat,64.325.351,Hard Drinks,2.302.694,OUT018,2009,Medium,Tier 3,Supermarket Type2,31.971.716
FDT59,13.65,Low Fat,15.976.249,Breads,2.302.668,OUT018,2009,Medium,Tier 3,Supermarket Type2,29.947.684
NCH42,6.86,Low Fat,36.686.158,Household,229.601,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.526.711
FDP52,18.7,Regular,70.979.698,Frozen Foods,229.501,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.607.907
FDC47,15,Low Fat,119.374.946,Snack Foods,2.293.694,OUT018,2009,Medium,Tier 3,Supermarket Type2,50.241.268
FDR34,17,Regular,16.030.344,Snack Foods,2.280.352,OUT018,2009,Medium,Tier 3,Supermarket Type2,27.484.224
FDO03,10.395,Regular,37.033.223,Meat,2.279.352,OUT018,2009,Medium,Tier 3,Supermarket Type2,48.097.392
FDI50,8.42,Regular,30.968.306,Canned,2.278.352,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.435.528
FDY58,11.65,Low Fat,40.081.193,Snack Foods,2.270.694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.141.847
FDX20,7.365,Low Fat,42.733.625,Fruits and Vegetables,226.972,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.848.324
FDT12,6.215,Regular,49.823.839,Baking Goods,2.266.062,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.771.186
FDB23,19.2,Regular,5.611.367,Starchy Foods,2.262.062,OUT018,2009,Medium,Tier 3,Supermarket Type2,15.799.434
FDY56,16.35,Regular,62.665.642,Fruits and Vegetables,2.256.062,OUT018,2009,Medium,Tier 3,Supermarket Type2,15.799.434
FDA55,17.2,reg,57.221.177,Fruits and Vegetables,2.254.088,OUT018,2009,Medium,Tier 3,Supermarket Type2,24.607.968
NCR53,12.15,Low Fat,0,Health and Hygiene,2.244.404,OUT018,2009,Medium,Tier 3,Supermarket Type2,5626.01
FDX02,16,Low Fat,57.292.529,Dairy,2.243.404,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.500.808
FDK52,18.25,Low Fat,0,Frozen Foods,2.241.062,OUT018,2009,Medium,Tier 3,Supermarket Type2,49.655.364
FDX36,9.695,Regular,128.805.815,Baking Goods,2.240.404,OUT018,2009,Medium,Tier 3,Supermarket Type2,58.510.504
NCI18,18.35,Low Fat,14.081.156,Household,2.235.746,OUT018,2009,Medium,Tier 3,Supermarket Type2,35.899.936
FDJ55,12.8,Regular,23.626.808,Meat,2.232.404,OUT018,2009,Medium,Tier 3,Supermarket Type2,24.754.444
FDO21,11.6,Regular,9.802.791,Snack Foods,2.230.404,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.125.202
FDV25,5.905,Low Fat,45.838.211,Canned,2.225.456,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.315.684
FDQ07,15.1,Regular,87.762.922,Fruits and Vegetables,2.215.456,OUT018,2009,Medium,Tier 3,Supermarket Type2,28.735.928
FDW22,9.695,Regular,30.413.777,Snack Foods,2.213.114,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.217.114
FDO48,15,Regular,26.950.104,Baking Goods,2.209.456,OUT018,2009,Medium,Tier 3,Supermarket Type2,17.683.648
FDA16,6.695,Low Fat,3.408.026,Frozen Foods,2.208.456,OUT018,2009,Medium,Tier 3,Supermarket Type2,50.840.488
FDY51,12.5,Low Fat,81.465.335,Meat,2.207.798,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.611.394
NCW42,18.2,Low Fat,58.707.159,Household,2.205.456,OUT018,2009,Medium,Tier 3,Supermarket Type2,30.946.384
FDM33,15.6,Low Fat,0,Snack Foods,2.204.798,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.611.394
FDA26,7.855,Regular,0,Dairy,2.201.482,OUT018,2009,Medium,Tier 3,Supermarket Type2,46.000.122
FDP58,11.1,Low Fat,135.692.831,Snack Foods,2.200.482,OUT018,2009,Medium,Tier 3,Supermarket Type2,26.285.784
FDP25,15.2,Low Fat,21.293.909,Canned,2.184.824,OUT018,2009,Medium,Tier 3,Supermarket Type2,15.286.768
DRI13,15.35,Low Fat,20.409.765,Soft Drinks,2.183.508,OUT018,2009,Medium,Tier 3,Supermarket Type2,23.875.588
DRJ39,20.25,Low Fat,36.474.041,Dairy,2.183.482,OUT018,2009,Medium,Tier 3,Supermarket Type2,24.095.302
FDP23,6.71,Low Fat,35.731.825,Breads,2.183.166,OUT018,2009,Medium,Tier 3,Supermarket Type2,56.606.316
FDV59,13.35,LF,0,Breads,2.176.166,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.265.749
NCH43,8.42,Low Fat,70.856.383,Household,2.174.192,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.314.384
FDD39,16.7,Low Fat,7.044.068,Dairy,216.885,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.275.165
FDA32,14,Low Fat,30.216.783,Fruits and Vegetables,2.166.192,OUT018,2009,Medium,Tier 3,Supermarket Type2,30.200.688
FDJ26,15.3,Regular,8.511.049,Canned,2.157.218,OUT018,2009,Medium,Tier 3,Supermarket Type2,19.234.962
FDK22,9.8,Low Fat,26.192.765,Snack Foods,215.685,OUT018,2009,Medium,Tier 3,Supermarket Type2,649.155
FDR16,5.845,Regular,105.445.801,Frozen Foods,2.144.218,OUT018,2009,Medium,Tier 3,Supermarket Type2,14.960.526
FDY28,7.47,Regular,15.277.077,Frozen Foods,2.144.218,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.274.436
FDK33,17.85,Low Fat,11.281.018,Snack Foods,213.756,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.408.896
FDW51,6.155,Regular,95.045.476,Meat,213.456,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.556.672
FDY26,20.6,Regular,30.634.813,Dairy,2.129.244,OUT018,2009,Medium,Tier 3,Supermarket Type2,25.406.928
FDL51,20.7,Regular,47.684.831,Dairy,2.125.876,OUT018,2009,Medium,Tier 3,Supermarket Type2,12.863.256
FDC17,12.15,Low Fat,15.523.707,Frozen Foods,2.120.928,OUT018,2009,Medium,Tier 3,Supermarket Type2,27.351.064
FDP09,19.75,Low Fat,34.027.909,Snack Foods,2.120.902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.185.853
FDF22,6.865,Low Fat,57.062.186,Snack Foods,2.120.218,OUT018,2009,Medium,Tier 3,Supermarket Type2,23.509.398
NCX41,19,Low Fat,17.791.458,Health and Hygiene,2.119.244,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.117.244
FDG45,8.1,Low Fat,0,Fruits and Vegetables,2.118.902,OUT018,2009,Medium,Tier 3,Supermarket Type2,38.230.236
NCO07,09.06,Low Fat,9.816.092,Others,211.856,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.621.952
FDI20,19.1,Low Fat,38.720.852,Fruits and Vegetables,2.108.586,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.331.758
FDB46,10.5,Regular,94.145.821,Snack Foods,2.108.244,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.117.244
FDE16,8.895,Low Fat,26.451.028,Frozen Foods,2.103.954,OUT018,2009,Medium,Tier 3,Supermarket Type2,50.014.896
FDO25,6.3,Low Fat,127.968.205,Canned,209.627,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.984.813
NCI42,18.75,Low Fat,1.040.777,Household,2.094.954,OUT018,2009,Medium,Tier 3,Supermarket Type2,25.007.448
NCU54,8.88,Low Fat,99.024.124,Household,208.527,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.145.905
FDC39,7.405,Low Fat,159.843.921,Dairy,2.066.296,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.115.944
FDX56,17.1,Regular,7.436.116,Fruits and Vegetables,2.061.638,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.141.276
FDC35,7.435,Low Fat,123.338.082,Starchy Foods,2.061.638,OUT018,2009,Medium,Tier 3,Supermarket Type2,16.565.104
FDW31,11.35,Regular,43.333.912,Fruits and Vegetables,2.010.742,OUT018,2009,Medium,Tier 3,Supermarket Type2,21.898.162
FDZ45,14.1,Low Fat,67.148.407,Snack Foods,2.004.084,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.968.168
FDF34,9.3,Regular,14.076.503,Snack Foods,2.000.084,OUT018,2009,Medium,Tier 3,Supermarket Type2,21.824.924
FDB59,18.25,Low Fat,15.341.139,Snack Foods,2.000.084,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.984.084
DRK13,11.8,Low Fat,115.636.723,Soft Drinks,1.997.084,OUT018,2009,Medium,Tier 3,Supermarket Type2,35.713.512
FDT48,4.92,Low Fat,46.142.232,Baking Goods,1.991.084,OUT018,2009,Medium,Tier 3,Supermarket Type2,47.618.016
FDR56,15.5,Regular,101.176.316,Fruits and Vegetables,1.989.768,OUT018,2009,Medium,Tier 3,Supermarket Type2,47.298.432
FDC05,13.1,Regular,99.186.992,Frozen Foods,1.987.768,OUT018,2009,Medium,Tier 3,Supermarket Type2,31.532.288
FDR01,5.405,Regular,53.839.714,Canned,1.986.742,OUT018,2009,Medium,Tier 3,Supermarket Type2,23.888.904
NCR05,10.1,Low Fat,54.853.377,Health and Hygiene,1.986.084,OUT018,2009,Medium,Tier 3,Supermarket Type2,21.824.924
FDR35,12.5,Low Fat,20.782.036,Breads,1.983.742,OUT018,2009,Medium,Tier 3,Supermarket Type2,25.879.646
FDI04,13.65,Regular,73.209.447,Frozen Foods,1.976.426,OUT018,2009,Medium,Tier 3,Supermarket Type2,27.683.964
DRM37,15.35,Low Fat,96.790.497,Soft Drinks,1.972.768,OUT018,2009,Medium,Tier 3,Supermarket Type2,3.941.536
FDI36,12.5,Regular,62.597.392,Baking Goods,1.969.426,OUT018,2009,Medium,Tier 3,Supermarket Type2,53.390.502
NCX18,14.15,Low Fat,8.829.806,Household,196.811,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.517.453
FDC33,8.96,Regular,69.219.165,Fruits and Vegetables,1.965.768,OUT018,2009,Medium,Tier 3,Supermarket Type2,27.590.752
FDF32,16.35,Low Fat,0,Fruits and Vegetables,1.963.426,OUT018,2009,Medium,Tier 3,Supermarket Type2,13.841.982
FDV39,11.3,Low Fat,7.309.544,Meat,1.962.426,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.943.565
FDV26,20.25,Regular,76.470.697,Dairy,1.961.794,OUT018,2009,Medium,Tier 3,Supermarket Type2,27.311.116
FDR47,17.85,Low Fat,87.824.967,Breads,1.960.794,OUT018,2009,Medium,Tier 3,Supermarket Type2,17.557.146
FDI57,19.85,Low Fat,54.245.722,Seafood,1.960.768,OUT018,2009,Medium,Tier 3,Supermarket Type2,55.181.504
DRE48,8.43,Low Fat,17.396.308,Soft Drinks,1.960.768,OUT018,2009,Medium,Tier 3,Supermarket Type2,41.386.128
FDB60,9.3,Low Fat,28.638.276,Baking Goods,1.958.136,OUT018,2009,Medium,Tier 3,Supermarket Type2,21.385.496
FDO12,15.75,Low Fat,55.154.296,Baking Goods,1.955.452,OUT018,2009,Medium,Tier 3,Supermarket Type2,11.744.712
NCL18,18.85,Low Fat,168.266.556,Household,1.955.136,OUT018,2009,Medium,Tier 3,Supermarket Type2,17.497.224
FDH10,21,Low Fat,49.505.857,Snack Foods,1.953.478,OUT018,2009,Medium,Tier 3,Supermarket Type2,11.624.868
FDU40,20.85,Low Fat,37.556.341,Frozen Foods,1.953.478,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.937.478
FDV60,20.2,Regular,117.839.328,Baking Goods,195.211,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.356.932
FDY44,14.15,Regular,24.503.972,Fruits and Vegetables,195.111,OUT018,2009,Medium,Tier 3,Supermarket Type2,982.055
FDL03,19.25,Regular,27.190.917,Meat,194.811,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.160.521
FDP07,18.2,Low Fat,90.267.996,Fruits and Vegetables,194.711,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.910.275
FDX52,11.5,Regular,42.173.667,Frozen Foods,194.682,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.316.984
FDW28,18.25,Low Fat,89.186.083,Frozen Foods,1.943.452,OUT018,2009,Medium,Tier 3,Supermarket Type2,45.021.396
FDC57,20.1,Regular,54.816.926,Fruits and Vegetables,194.282,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.544.656
FDA43,10.895,Low Fat,64.939.211,Fruits and Vegetables,1.941.794,OUT018,2009,Medium,Tier 3,Supermarket Type2,23.409.528
NCW53,18.35,Low Fat,30.619.301,Health and Hygiene,1.940.162,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.886.243
NCQ41,14.8,Low Fat,19.559.746,Health and Hygiene,1.937.794,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.926.191
FDW56,7.68,LF,711.891,Fruits and Vegetables,1.933.162,OUT018,2009,Medium,Tier 3,Supermarket Type2,5.772.486
FDC22,6.89,Regular,136.984.147,Snack Foods,192.682,OUT018,2009,Medium,Tier 3,Supermarket Type2,2.703.148
FDJ22,18.75,Low Fat,53.025.371,Snack Foods,1.925.504,OUT018,2009,Medium,Tier 3,Supermarket Type2,21.092.544
DRM47,9.3,Low Fat,43.964.058,Hard Drinks,1.923.846,OUT018,2009,Medium,Tier 3,Supermarket Type2,45.860.304
NCK19,9.8,Low Fat,90.834.158,Others,1.922.478,OUT018,2009,Medium,Tier 3,Supermarket Type2,40.687.038
FDR52,12.65,Regular,76.354.362,Frozen Foods,1.921.846,OUT018,2009,Medium,Tier 3,Supermarket Type2,11.465.076
NCP42,8.51,Low Fat,16.176.344,Household,1.921.478,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.937.478
NCV06,11.3,Low Fat,66.952.965,Household,1.920.478,OUT018,2009,Medium,Tier 3,Supermarket Type2,30.999.648
NCF18,18.35,LF,89.345.074,Household,1.919.504,OUT018,2009,Medium,Tier 3,Supermarket Type2,53.690.112
NCW06,16.2,Low Fat,50.545.502,Household,1.916.162,OUT018,2009,Medium,Tier 3,Supermarket Type2,17.317.458
